prescription,Denomination,simd_deprivation_group,Full Address,Latitude,Longitude,Date First Listed,practice_name,Other,Notes,Citation,-----> Repeated ,,,,,,,,,,,,,,,,,,,,,,,,,,
"Haygood, Laura A.",M. E. C. S.,Board of Missions,Shanghai China ,31.230416,121.473701,1896-1897,F,"1898-1899 (Shanghai, China), 1899-1900 (Shanghai, China)",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),,,,,,,,,,,,,,,,,,,,,,,,,
"Hughes, Bettie",M. E. C. S.,Board of Missions,Shanghai China ,31.230416,121.473701,1896-1897,F,"1898-1899 (Shanghai, China), 1899-1900 (Shanghai, China), 1900-1901 (""At home""), 1901-1902 (""At home""), 1902-1903 (""At home""), 1905-1906 (""At home"")",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 57 (p. 191),AR 60 (p. 198),,,,,,,,,,,,,,,,,,,,,,
"Richardson, Helen Lee",M. E. C. S.,Board of Missions,Shanghai China ,31.230416,121.473701,1896-1897,F,"1898-1899 (Shanghai, China), 1899-1900 (Shanghai, China), 1900-1901 (Shanghai, China), 1901-1902 (Shanghai, China), 1902-1903 (Shanghai, China), 1905-1906 (Shanghai, China), 1908-1909 (Shanghai, China), 1909-1910 (Shanghai, China), 1910-1911 (""at home""), 1911-1912 (Shanghai, China), 1912-1913 (Shanghai, China), 1913-1914 (Shanghai, China), 1914-1915 (Shanghai, China), 1915-1916 (Shanghai, China), 1916-1917 (Shanghai, China)",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 57 (p. 191),AR 60 (p. 198),AR 63 (p. 218),AR 64 (p. 261),AR 65 (p. 231),AR 66 (p. 227),AR 67 (p. 260),AR 68 (p. 226),AR 69 (p. 241),AR 70 (p. 241),AR 71 (p. 209),,,,,,,,,,,,,
"Bomar, Minnie",M. E. C. S.,Board of Missions,Shanghai China ,31.230416,121.473701,1896-1897,F,"1898-1899 (Shanghai, China), 1899-1900 (Shanghai, China), 1900-1901 (""At home""), 1901-1902 (Shanghai, China), 1902-1903 (Shanghai, China), 1905-1906 (Hoochow, China), 1908-1909 (Huchow, China), 1909-1910 (Huchow, China), 1910-1911 (Huchow, China), 1911-1912 (Huchow, China), 1912-1913 (Huchow, China), 1913-1914 (Nashville, Tennessee), 1914-1915 (""Huchow, via Shanghai""), 1915-1916 (""Huchow, via Shanghai""), 1916-1917 (Huchow, China), 1917-1918 (""Huchow, via Shanghai""), 1918-1919 (""Huchow, via Shanghai"")",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 57 (p. 191),AR 60 (p. 198),AR 63 (p. 218),AR 64 (p. 260),AR 65 (p. 230),AR 66 (p. 226),AR 67 (p. 259),AR 68 (p. 225),AR 69 (p. 241),AR 70 (p. 241),AR 71 (p. 209),AR 72 (p. 245),AR 73 (p. 186),,,,,,,,,,,
"Gaither, Mrs. Julia A.",M. E. C. S.,Board of Missions,Suchow China ,31.2983399,120.58319,1896-1897,F,"1898-1899 (Soochow, China), 1899-1900 (Soochow, China), 1900-1901 (""At home""), 1901-1902 (Sung Kiang, China), 1902-1903 (Sung Kiang, China), 1905-1906 (Sung Kiang, China), 1908-1909 (Sungkong, China), 1909-1910 (Sungkiang, China), 1910-1911 (Sungkiang, China), 1911-1912 (Sungkiang, China), 1912-1913 (Sungkiang, China), 1913-1914 (Sungkiang, China), 1914-1915 (Sungkiang, China), 1915-1916 (Sungkiang, China), 1917-1918 (""Huchow, via Shanghai""), 1918-1919 (""Huchow, via Shanghai""), 1919-1920 (""Huchow via Shanghai"")",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 57 (p. 191),AR 60 (p. 198),AR 63 (p. 218),AR 64 (p. 260),AR 65 (p. 230),AR 66 (p. 226),AR 67 (p. 260),AR 68 (p. 225),AR 69 (p. 241),AR 70 (p. 241),AR 72 (p. 245),AR 73 (p. 186),AR 74 (p. 212),,,,,,,,,,,
"Reynolds, Sallie B.",M. E. C. S.,Board of Missions,Shanghai China ,31.230416,121.473701,1896-1897,F,,,AR 51 (p. 180),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Steger, Clara E.",M. E. C. S.,Board of Missions,Shanghai China ,31.230416,121.473701,1896-1897,F,"1898-1899 (Shanghai, China), 1899-1900 (Shanghai, China), 1900-1901 (""At home""), 1901-1902 (Shanghai, China), 1902-1903 (Shanghai, China), 1905-1906 (Shanghai, China), 1908-1909 (Huchow, China), 1909-1910 (Huchow, China), 1910-1911 (Huchow, China), 1911-1912 (Huchow, China), 1912-1913 (Huchow, China), 1913-1914 (Huchow, China), 1914-1915 (""Huchow, via Shanghai""), 1915-1916 (""Huchow, via Shanghai""), 1916-1917 (Huchow, China), 1917-1918 (""Huchow, via Shanghai""), 1918-1919 (""Huchow, via Shanghai"")",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 57 (p. 191),AR 60 (p. 198),AR 63 (p. 218),AR 64 (p. 261),AR 65 (p. 231),AR 66 (p. 227),AR 67 (p. 260),AR 68 (p. 226),AR 69 (p. 241),AR 70 (p. 241),AR 71 (p. 209),AR 72 (p. 245),AR 73 (p. 186),,,,,,,,,,,
"Coffey, Ella R.",M. E. C. S.,Board of Missions,Shanghai China ,31.230416,121.473701,1896-1897,F,"1898-1899 (Shanghai, China), 1899-1900 (Shanghai, China), 1900-1901 (Shanghai, China), 1901-1902 (Huchow, China), 1902-1903 (""At home"")",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 57 (p. 191),,,,,,,,,,,,,,,,,,,,,,,
"Atkinson, Jennie M.",M. E. C. S.,Board of Missions,Suchow China ,31.2983399,120.58319,1896-1897,F,"1898-1899 (Soochow, China), 1899-1900 (Soochow, China), 1900-1901 (Soochow, China), 1901-1902 (Soochow, China), 1902-1903 (Soochow, China), 1905-1906 (Soochow, China), 1908-1909 (Soochow, China), 1909-1910 (Soochow, China), 1910-1911 (Soochow, China), 1911-1912 (Soochow, China), 1912-1913 (Soochow, China), 1913-1914 (Soochow, China), 1914-1915 (Soochow, China), 1915-1916 (Soochow, China), 1916-1917 (Soochow, China), 1917-1918 (Soochow, China), 1918-1919 (Soochow, China)",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 57 (p. 191),AR 60 (p. 198),AR 63 (p. 218),AR 64 (p. 260),AR 65 (p. 230),AR 66 (p. 226),AR 67 (p. 259),AR 68 (p. 225),AR 69 (p. 241),AR 70 (p. 241),AR 71 (p. 209),AR 72 (p. 245),AR 73 (p. 186),,,,,,,,,,,
"Pyles, Martha",M. E. C. S.,Board of Missions,Suchow China ,31.2983399,120.58319,1896-1897,F,"1898-1899 (Soochow, China), 1899-1900 (Soochow, China), 1900-1901 (Shanghai, China), 1901-1902 (Shanghai, China), 1902-1903 (Soochow, China), 1905-1906 (Soochow, China), 1908-1909 (Soochow, China), 1909-1910 (Soochow, China), 1910-1911 (Soochow, China), 1911-1912 (Soochow, China), 1912-1913 (Soochow, China), 1913-1914 (Soochow, China), 1914-1915 (Soochow, China ""At home on furlough""), 1915-1916 (Soochow, China ""At home on furlough""), 1916-1917 (Battle Creek, Michigan ""At home on furlough""), 1917-1918 (China Mission ""At home on furlough""), 1918-1919 (Shanghai, China)",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 57 (p. 191),AR 60 (p. 198),AR 63 (p. 218),AR 64 (p. 261),AR 65 (p. 231),AR 66 (p. 227),AR 67 (p. 260),AR 68 (p. 226),AR 69 (p. 241),AR 70 (p. 241),AR 71 (p. 209),AR 72 (p. 245),AR 73 (p. 186),,,,,,,,,,,
"Gary, Emma",M. E. C. S.,Board of Missions,Shanghai China ,31.230416,121.473701,1896-1897,F,"1898-1899 (Shanghai, China), 1899-1900 (Shanghai, China), 1900-1901 (""At home""), 1901-1902 (Sung Kiang, China), 1902-1903 (Shanghai, China)",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 57 (p. 191),,,,,,,,,,,,,,,,,,,,,,,
"Polk, Margaret",M. E. C. S.,Board of Missions,Suchow China ,31.2983399,120.58319,1896-1897,F,"1898-1899 (Soochow, China), 1899-1900 (Soochow, China), 1900-1901 (Soochow, China), 1901-1902 (Soochow, China), 1902-1903 (Soochow, China), 1905-1906 (Soochow, China), 1908-1909 (Soochow, China), 1909-1910 (Soochow, China), 1910-1911 (Soochow, China), 1911-1912 (Soochow, China), 1912-1913 (Soochow, China)",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 57 (p. 191),AR 60 (p. 198),AR 63 (p. 218),AR 64 (p. 261),AR 65 (p. 231),AR 66 (p. 227),AR 67 (p. 260),,,,,,,,,,,,,,,,,
"Martin, Lizzie",M. E. C. S.,Board of Missions,Shanghai China ,31.230416,121.473701,1896-1897,F,"1898-1899 (Soochow, China), 1899-1900 (Soochow, China), 1900-1901 (Shanghai, China)",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),,,,,,,,,,,,,,,,,,,,,,,,
"Leveritt, Ella D.",M. E. C. S.,Board of Missions,Shanghai China ,31.230416,121.473701,1896-1897,F,"1898-1899 (Sung Kiang, China), 1899-1900 (Sung Kiang, China), 1900-1901 (Shanghai, China), 1901-1902 (Shanghai, China), 1902-1903 (Shanghai, China), 1905-1906 (""At home""), 1908-1909 (Changchow, China), 1909-1910 (Changchow, China), 1910-1911 (Changchow, China), 1911-1912 (Changchow, China), 1912-1913 (Changchow, China), 1913-1914 (Changchow, China), 1914-1915 (Changchow, China), 1915-1916 (Changchow, China), 1916-1917 (Changchow, China), 1917-1918 (Changchow, China), 1918-1919 (Changchow, China)",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 57 (p. 191),AR 60 (p. 198),AR 63 (p. 218),AR 64 (p. 260),AR 65 (p. 231),AR 66 (p. 227),AR 67 (p. 260),AR 68 (p. 226),AR 69 (p. 242),AR 70 (p. 242),AR 71 (p. 209),AR 72 (p. 245),AR 73 (p. 186),,,,,,,,,,,
"Sanders, Johnnie",M. E. C. S.,Board of Missions,Shanghai China ,31.230416,121.473701,1896-1897,F,"1898-1899 (Shanghai, China), 1899-1900 (Shanghai, China), 1900-1901 (Shanghai, China), 1901-1902 (Shanghai, China), 1902-1903 (Huchow, China)",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 57 (p. 191),,,,,,,,,,,,,,,,,,,,,,,
"Holding, Nannie E.",M. E. C. S.,Board of Missions,"Laredo, Texas U.S.A. ",27.5035613,-99.5075519,1896-1897,F,"1898-1899 (Laredo, Texas), 1899-1900 (Laredo, Texas), 1900-1901 (Laredo, Texas), 1901-1902 (Laredo, Texas), 1902-1903 (Laredo, Texas), 1905-1906 (Laredo, Texas), 1908-1909 (Laredo, Texas), 1909-1910 (Laredo, Texas), 1910-1911 (Laredo, Texas), 1911-1912 (Laredo, Texas), 1912-1913 (Laredo, Texas)",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 56 (p. 224 ),AR 57 (p. 191),AR 60 (p. 198),AR 63 (p. 218),AR 64 (p. 264),AR 65 (p. 235),AR 66 (p. 231),AR 67 (p. 264),,,,,,,,,,,,,,,,
"Holding, Delia",M. E. C. S.,Board of Missions,"Laredo, Texas U.S.A. ",27.5035613,-99.5075519,1896-1897,F,"1898-1899 (Laredo, Texas), 1899-1900 (Laredo, Texas), 1901-1902 (Laredo, Texas), 1902-1903 (Laredo, Texas), 1905-1906 (Laredo, Texas), 1908-1909 (Laredo, Texas), 1909-1910 (Laredo, Texas), 1910-1911 (Laredo, Texas), 1911-1912 (Laredo, Texas), 1912-1913 (Laredo, Texas)",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 56 (p. 224),AR 57 (p. 191),AR 60 (p. 198),AR 63 (p. 218),AR 64 (p. 264),AR 65 (p. 235),AR 66 (p. 231),AR 67 (p. 264),,,,,,,,,,,,,,,,,
"McClendon, Mrs. A.E.",M. E. C. S.,Board of Missions,"Laredo, Texas U.S.A. ",27.5035613,-99.5075519,1896-1897,F,"1898-1899 (Laredo, Texas), 1899-1900 (Laredo, Texas),1900-1901 (Laredo, Texas), 1901-1902 (Laredo, Texas), 1902-1903 (Guadalajara, Mexico), 1905-1906 (New Laredo, Mexico), 1908-1909 (New Laredo, Texas), 1909-1910 (New Laredo, Mexico), 1910-1911 (New Laredo, Mexico), 1911-1912 (Houston Heights, Texas), 1912-1913 (Houston Heights, Texas)",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 56 (p. 224 ),AR 57 (p. 191),AR 60 (p. 198),AR 63 (p. 218),AR 64 (p. 264),AR 65 (p. 235),AR 66 (p. 231),AR 67 (p. 264),,,,,,,,,,,,,,,,
"Norville, Hardynia",M. E. C. S.,Board of Missions,"Laredo, Texas U.S.A. ",27.5035613,-99.5075519,1896-1897,F,"1898-1899 (Mexico City, Mexico), 1899-1900 (Mexico City, Mexico), 1900-1901 (Mexico City, Mexico), 1901-1902 (Mexico City, Mexico), 1902-1903 (Mexico City, Mexico), 1905-1906 (""At home""), 1908-1909 (Durango, Mexico), 1909-1910 (Durango, Mexico), 1910-1911 (Durango, Mexico), 1911-1912 (Laredo, Texas), 1912-1913 (Laredo, Texas)",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 56 (p. 224 ),AR 57 (p. 191),AR 60 (p. 198),AR 63 (p. 219),AR 64 (p. 264),AR 65 (p. 235),AR 66 (p. 231),AR 67 (p. 264),,,,,,,,,,,,,,,,
"Park, Edith",M. E. C. S.,Board of Missions,"Laredo, Texas U.S.A. ",27.5035613,-99.5075519,1896-1897,F,"1898-1899 (Laredo, Texas), 1899-1900 (Laredo, Texas), 1900-1901 (Laredo, Texas), 1901-1902 (Laredo, Texas), 1902-1903 (Laredo, Texas), 1905-1906 (Laredo, Texas), 1908-1909 (Laredo, Texas), 1909-1910 (Laredo, Texas), 1910-1911 (Laredo, Texas), 1911-1912 (Laredo, Texas), 1912-1913 (Laredo, Texas), 1913-1914 (El Paso, Texas), 1914-1915 (Chihuahua, Mexico), 1915-1916 (Chihuahua, Mexico), 1916-1917 (El Paso, Texas), 1917-1918 (Mexico Mission)",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 56 (p. 224 ),AR 57 (p. 191),AR 60 (p. 198),AR 63 (p. 218),AR 64 (p. 264),AR 65 (p. 235),AR 66 (p. 231),AR 67 (p. 264),AR 68 (p. 230),AR 69 (p. 246),AR 70 (p. 246),AR 71 (p. 213),AR 72 (p. 249),,,,,,,,,,,
"Toland, Rebecca",M. E. C. S.,Board of Missions,San Luis Potosi Mexico ,22.1520892,-100.9733024,1896-1897,F,"1898-1899 (San Luis Potosi, Mexico), 1899-1900 (San Luis Potosi, Mexico), 1900-1901 (San Luis Potosi, Mexico), 1901-1902 (San Luis Potosi, Mexico), 1902-1903 (Mantanzas, Cuba), 1905-1906 (Matanzas, Cuba), 1908-1909 (Matanzas, Cuba), 1909-1910 (Matanzas, Cuba), 1910-1911 (Matanzas, Cuba), 1911-1912 (Matanzas, Cuba), 1912-1913 (Matanzas, Cuba), 1913-1914 (Matanzas, Cuba), 1914-1915 (Matanzas, Cuba ""At home on furlough""), 1915-1916 (Matanzas, Cuba ""At home on furlough""), 1916-1917 (Matanzas, Cuba), 1917-1918 (Matanzas, Cuba)",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 56 (p. 224 ),AR 57 (p. 191),AR 60 (p. 198),AR 63 (p. 218),AR 64 (p. 265),AR 65 (p. 236),AR 66 (p. 232),AR 67 (p. 265),AR 68 (p. 230),AR 69 (p. 247),AR 70 (p. 247),AR 71 (p. 213),AR 72 (p. 249),,,,,,,,,,,
"Blackburn, Viola",M. E. C. S.,Board of Missions,San Luis Potosi Mexico ,22.1520892,-100.9733024,1896-1897,F,"1898-1899 (San Luis Potosi, Mexico), 1899-1900 (San Luis Potosi, Mexico), 1900-1901 (San Luis Potosi, Mexico), 1901-1902 (San Luis Potosi, Mexico), 1902-1903 (San Luis Potosi, Mexico), 1905-1906 (San Luis Potosi, Mexico)",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 56 (p. 224 ),AR 57 (p. 191),AR 60 (p. 198),,,,,,,,,,,,,,,,,,,,,
"Roberts, Lelia",M. E. C. S.,Board of Missions,Saltillo Mexico ,25.4383234,-100.973678,1896-1897,F,"1898-1899 (Saltillo, Mexico), 1899-1900 (Saltillo, Mexico), 1900-1901 (Saltillo, Mexico), 1901-1902 (Saltillo, Mexico), 1902-1903 (Saltillo, Mexico), 1905-1906 (Saltillo, Mexico), 1908-1909 (Saltillo, Mexico), 1909-1910 (Saltillo, Mexico), 1910-1911 (Saltillo, Mexico), 1911-1912 (Saltillo, Mexico ""at home""), 1912-1913 (Saltillo, Mexico), 1913-1914 (Bonham, Texas), 1914-1915 (Saltillo, Mexico), 1915-1916 (Saltillo, Mexico), 1916-1917 (Bonham, Texas), 1917-1918 (Saltillo, Mexico)",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 56 (p. 224 ),AR 57 (p. 191),AR 60 (p. 198),AR 63 (p. 218),AR 64 (p. 264),AR 65 (p. 235),AR 66 (p. 231),AR 67 (p. 264),AR 68 (p. 230),AR 69 (p. 246),AR 70 (p. 246),AR 71 (p. 213),AR 72 (p. 249),,,,,,,,,,,
"Case, Esther",M. E. C. S.,Board of Missions,Saltillo Mexico ,25.4383234,-100.973678,1896-1897,F,"1898-1899 (Saltillo, Mexico), 1899-1900 (Saltillo, Mexico), 1900-1901 (Guadalajara, Mexico), 1901-1902 (San Luis Potosi, Mexico), 1902-1903 (San Luis Potosi, Mexico), 1905-1906 (Mexico City, D.F., Mexico), 1908-1909 (Mexico City, Mexico), 1909-1910 (Mexico City, Mexico), 1910-1911 (Mexico City, Mexico), 1911-1912 (Mexico City, Mexico), 1912-1913 (Mexico City, Mexico), 1913-1914 (Mexico City, Mexico), 1914-1915 (Mexico City, Mexico), 1915-1916 (Mexico City, Mexico), 1916-1917 (Batesville, Arkansas), 1917-1918 (Nashville, Tennessee)",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 56 (p. 224 ),AR 57 (p. 191),AR 60 (p. 198),AR 63 (p. 218),AR 64 (p. 264),AR 65 (p. 235),AR 66 (p. 231),AR 67 (p. 264),AR 68 (p. 229),AR 69 (p. 246),AR 70 (p. 246),AR 71 (p. 213),AR 72 (p. 249),,,,,,,,,,,
"Wilson, Lizzie",M. E. C. S.,Board of Missions,Chihuahua Mexico ,28.6433753,-106.0587908,1896-1897,F,"1898-1899 (Chihuahua, Mexico), 1899-1900 (Chihuahua, Mexico), 1900-1901 (Chihuahua, Mexico), 1901-1902 (Chihuahua, Mexico), 1902-1903 (Chihuahua, Mexico), 1905-1906 (Chihuahua, Mexico), 1908-1909 (Chihuahua, Mexico), 1909-1910 (Chihuahua, Mexico), 1910-1911 (Chihuahua, Mexico), 1911-1912 (Chihuahua, Mexico), 1912-1913 (Chihuahua, Mexico), 1913-1914 (El Paso, Texas), 1914-1915 (Chihuahua, Mexico), 1915-1916 (Chihuahua, Mexico)",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 56 (p. 224 ),AR 57 (p. 191),AR 60 (p. 198),AR 63 (p. 218),AR 64 (p. 265),AR 65 (p. 235),AR 66 (p. 231),AR 67 (p. 264),AR 68 (p. 230),AR 69 (p. 246),AR 70 (p. 246),,,,,,,,,,,,,
"Harper, Lucy C.",M. E. C. S.,Board of Missions,Chihuahua Mexico ,28.6433753,-106.0587908,1896-1897,F,"1898-1899 (Chihuahua, Mexico), 1899-1900 (Chihuahua, Mexico), 1900-1901 (Chihuahua, Mexico), 1901-1902 (Chihuahua, Mexico), 1902-1903 (Chihuahua, Mexico), 1905-1906 (Chihuahua, Mexico), 1908-1909 (Chihuahua, Mexico), 1909-1910 (Chihuahua, Mexico), 1910-1911 (Chihuahua, Mexico), 1911-1912 (Chihuahua, Mexico), 1912-1913 (Chihuahua, Mexico), 1913-1914 (El Paso, Texas), 1914-1915 (Chihuahua, Mexico), 1915-1916 (Chihuahua, Mexico), 1916-1917 (El Paso, Texas)",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 56 (p. 224 ),AR 57 (p. 191),AR 60 (p. 198),AR 63 (p. 218),AR 64 (p. 264),AR 65 (p. 235),AR 66 (p. 231),AR 67 (p. 264),AR 68 (p. 230),AR 69 (p. 246),AR 70 (p. 246),AR 71 (p. 213),,,,,,,,,,,,
"Wilson, Augusta V.",M. E. C. S.,Board of Missions,Guadalajara Mexico ,20.6751707,-103.3473385,1896-1897,F,"1898-1899 (Guadalajara, Mexico), 1899-1900 (Guadalajara, Mexico)",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),,,,,,,,,,,,,,,,,,,,,,,,,
"Dorsey, Mattie",M. E. C. S.,Board of Missions,Guadalajara Mexico ,20.6751707,-103.3473385,1896-1897,F,"1898-1899 (Guadalajara, Mexico), 1899-1900 (Guadalajara, Mexico)",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),,,,,,,,,,,,,,,,,,,,,,,,,
"McFarren, Kate C.",M. E. C. S.,Board of Missions,Durango Mexico ,24.0248409,-104.6608131,1896-1897,F,"1898-1899 (Durango, Mexico), 1899-1900 (Durango, Mexico), 1900-1901 (Durango, Mexico), 1901-1902 (Durango, Mexico), 1902-1903 (""At home"")",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 57 (p. 191),,,,,,,,,,,,,,,,,,,,,,,
"Tydings, Ellie B.",M. E. C. S.,Board of Missions,Durango Mexico ,24.0248409,-104.6608131,1896-1897,F,"1898-1899 (Durango, Mexico), 1899-1900 (Durango, Mexico), 1900-1901 (Durango, Mexico), 1901-1902 (Durango, Mexico), 1902-1903 (Durango, Mexico), 1905-1906 (Durango, Mexico), 1908-1909 (Durango, Mexico), 1909-1910 (Durango, Mexico), 1910-1911 (Durango, Mexico), 1911-1912 (Durango, Mexico ""at home""), 1912-1913 (Durango, Mexico ""at home""), 1913-1914 (Tallahassee, Florida), 1914-1915 (Mexico), 1915-1916 (Mexico), 1922-1923 (Parral, Mexico), 1923-1924 (Parral, Mexico), 1924-1925 (Parral, Mexico)",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 57 (p. 191),AR 60 (p. 198),AR 63 (p. 218),AR 64 (p. 264),AR 65 (p. 235),AR 66 (p. 231),AR 67 (p. 264),AR 68 (p. 230),AR 69 (p. 246),AR 70 (p. 246),AR 77 (p. 238),AR 78 (p. 297),AR 79 (p. 303),,,,,,,,,,,
"Carson, Hattie G.",M. E. C. S.,Board of Missions,Durango Mexico ,24.0248409,-104.6608131,1896-1897,F,"1898-1899 (Durango, Mexico), 1899-1900 (Durango, Mexico), 1900-1901 (Havana, Cuba), 1901-1902 (Havana, Cuba), 1902-1903 (Havana, Cuba), 1905-1906 (Havana, Cuba), 1908-1909 (Cienfuegos, Cuba), 1909-1910 (Cienfuegos, Cuba), 1910-1911 (Cienfuegos, Cuba), 1911-1912 (Cienfuegos, Cuba), 1912-1913 (Cienfuegos, Cuba), 1913-1914 (Cienfuegos, Cuba), 1914-1915 (Cienfuegos, Cuba ""At home on furlough""), 1915-1916 (Cienfuegos, Cuba ""At home on furlough"")",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 57 (p. 191),AR 60 (p. 198),AR 63 (p. 218),AR 64 (p. 265),AR 65 (p. 236),AR 66 (p. 232),AR 67 (p. 265),AR 68 (p. 230),AR 69 (p. 247),AR 70 (p. 247),,,,,,,,,,,,,,
"Watts, Mattie H.",M. E. C. S.,Board of Missions,Petropolis Brazil ,-22.5120883,-43.1795083,1896-1897,F,"1898-1899 (Petropolis, Brazil), 1899-1900 (Petropolis, Brazil), 1900-1901 (""At home""), 1901-1902 (""At home""), 1902-1903 (Juiz de Fora, Brazil), 1905-1906 (Bello Horizonte, Brazil), 1908-1909 (Bello Horizonte, Brazil)",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 57 (p. 191),AR 60 (p. 198),AR 63 (p. 218),,,,,,,,,,,,,,,,,,,,,
"Glenn, Layona",M. E. C. S.,Board of Missions,Rio de Janeiro Brazil ,-22.9068467,-43.1728965,1896-1897,F,"1898-1899 (Rio de Janeiro, Brazil), 1899-1900 (Rio de Janeiro, Brazil), 1900-1901 (Rio de Janeiro, Brazil), 1901-1902 (Rio de Janeiro, Brazil), 1902-1903 (Rio de Janeiro, Brazil), 1905-1906 (""At home""), 1908-1909 (Rio de Janeiro, Brazil), 1909-1910 (Rio de Janeiro, Brazil), 1910-1911 (Rio de Janeiro, Brazil), 1911-1912 (Rio de Janeiro, Brazil), 1912-1913 (Rio de Janeiro, Brazil), 1913-1914 (Rio de Janeiro, Brazil), 1914-1915 (Rio de Janeiro, Brazil), 1915-1916 (Rio de Janeiro, Brazil), 1916-1917 (Petropolis, Brazil), 1922-1923 (Brazil), 1923-1924 (Rio de Janeiro, Brazil)",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),AR 55 (p. II),AR 57 (p. 191),AR 60 (p. 198),AR 63 (p. 218),AR 64 (p. 263),AR 65 (p. 233),AR 66 (p. 229),AR 67 (p. 263),AR 68 (p. 228),AR 69 (p. 245),AR 70 (p. 245),AR 71 (p. 212),AR 77 (p. 237),AR 78 (p. 294),,,,,,,,,,,
"Moore, Alice",M. E. C. S.,Board of Missions,Piracicaba Brazil ,-22.7344425,-47.6480315,1896-1897,F,"1898-1899 (Piracicaba, Brazil), 1899-1900 (Piracicaba, Brazil)",,AR 51 (p. 180),AR 53 (p. 182),AR 54 (p. 184),,,,,,,,,,,,,,,,,,,,,,,,,
"Littlejohn, Susan",M. E. C. S.,Board of Missions,Piracicaba Brazil ,-22.7344425,-47.6480315,1896-1897,F,,,AR 51 (p. 180),,,,,,,,,,,,,,,,,,,,,,,,,,,
